time,open,high,low,close,tick_volume,spread,real_volume,has_fvg,has_ob,has_breaker,smt_bullish,smt_bearish,bias
2025-06-12 01:00:00,1.14869,1.15082,1.14868,1.15052,1733,8,0,0,1,0,0,0,صعودي
2025-06-12 02:00:00,1.15052,1.15126,1.15039,1.15096,2470,8,0,1,1,0,0,0,صعودي
2025-06-12 03:00:00,1.15099,1.1526,1.15012,1.15206,3616,8,0,0,1,0,0,1,صعودي
2025-06-12 04:00:00,1.15207,1.15286,1.1514199999999999,1.15182,3777,8,0,0,1,0,1,0,هبوطي
2025-06-12 05:00:00,1.15181,1.15186,1.1506,1.1510799999999999,2740,8,0,0,1,0,0,0,هبوطي
2025-06-12 06:00:00,1.15107,1.15216,1.15097,1.15191,2583,8,0,0,1,0,0,0,صعودي
2025-06-12 07:00:00,1.15191,1.15192,1.15117,1.15148,1956,8,0,0,1,0,0,0,هبوطي
2025-06-12 08:00:00,1.15146,1.15321,1.15105,1.15271,2655,8,0,0,1,1,0,0,صعودي
2025-06-12 09:00:00,1.15268,1.15308,1.15109,1.15218,4320,8,0,0,1,0,0,0,هبوطي
2025-06-12 10:00:00,1.15217,1.15272,1.15054,1.15259,4407,8,0,1,1,0,0,0,صعودي
2025-06-12 11:00:00,1.15259,1.15471,1.15225,1.1543700000000001,4347,8,0,1,1,0,1,0,صعودي
2025-06-12 12:00:00,1.15436,1.15879,1.15399,1.15716,4265,1,0,0,1,0,0,0,صعودي
2025-06-12 13:00:00,1.15717,1.16101,1.15664,1.15924,5145,8,0,0,1,0,0,0,صعودي
2025-06-12 14:00:00,1.15924,1.16062,1.15835,1.15889,4464,8,0,0,1,0,0,1,هبوطي
2025-06-12 15:00:00,1.1589,1.16313,1.15877,1.16093,5646,8,0,0,1,0,0,0,صعودي
2025-06-12 16:00:00,1.1609099999999999,1.16167,1.1579,1.15844,5176,8,0,0,1,0,0,0,هبوطي
2025-06-12 17:00:00,1.15845,1.15895,1.15785,1.15815,4562,8,0,0,1,0,0,0,هبوطي
2025-06-12 18:00:00,1.15816,1.15845,1.1567,1.15765,4591,8,0,0,1,1,1,0,هبوطي
2025-06-12 19:00:00,1.15765,1.1579,1.15664,1.15756,3779,8,0,0,1,0,0,0,هبوطي
2025-06-12 20:00:00,1.15755,1.15775,1.15632,1.15745,2606,8,0,0,1,0,0,0,هبوطي
2025-06-12 21:00:00,1.15745,1.15801,1.15694,1.15771,1957,8,0,0,1,0,0,0,صعودي
2025-06-12 22:00:00,1.15772,1.15802,1.15743,1.15756,1849,8,0,0,1,0,0,0,هبوطي
2025-06-12 23:00:00,1.15757,1.15871,1.1575,1.15799,1281,8,0,0,1,0,0,0,صعودي
2025-06-13 00:00:00,1.15795,1.15877,1.15706,1.15877,540,14,0,0,1,0,0,0,صعودي
2025-06-13 01:00:00,1.1588,1.15923,1.15869,1.15891,1088,8,0,0,1,0,1,1,صعودي
2025-06-13 02:00:00,1.15897,1.1609,1.15861,1.16085,1476,8,0,0,1,0,0,0,صعودي
2025-06-13 03:00:00,1.16079,1.16141,1.15389,1.15582,7703,8,0,0,1,0,0,0,هبوطي
2025-06-13 04:00:00,1.15582,1.15597,1.15366,1.15479,5192,8,0,0,1,1,0,0,هبوطي
2025-06-13 05:00:00,1.15479,1.15578,1.15366,1.15445,3906,8,0,0,1,0,0,0,هبوطي
2025-06-13 06:00:00,1.15445,1.15458,1.15271,1.15366,3568,8,0,0,1,0,0,0,هبوطي
2025-06-13 07:00:00,1.15365,1.15402,1.15137,1.15247,3027,8,0,0,1,0,0,0,هبوطي
2025-06-13 08:00:00,1.15246,1.15364,1.15113,1.15284,3253,8,0,0,1,0,1,0,صعودي
2025-06-13 09:00:00,1.15294,1.1546,1.15235,1.15416,5668,8,0,0,1,0,0,0,صعودي
2025-06-13 10:00:00,1.15416,1.15597,1.15348,1.1535,4827,8,0,0,1,0,0,0,هبوطي
2025-06-13 11:00:00,1.15347,1.15465,1.15249,1.15282,3994,8,0,0,1,0,0,0,هبوطي
2025-06-13 12:00:00,1.15282,1.15353,1.15179,1.1522999999999999,4487,8,0,0,1,0,0,1,هبوطي
2025-06-13 13:00:00,1.1522999999999999,1.1529,1.14882,1.15041,4681,1,0,0,1,0,0,0,هبوطي
2025-06-13 14:00:00,1.15044,1.15103,1.149,1.15095,4424,8,0,0,1,1,0,0,صعودي
2025-06-13 15:00:00,1.15094,1.15222,1.1506,1.1515900000000001,3465,0,0,0,1,0,1,0,صعودي
2025-06-13 16:00:00,1.15155,1.15271,1.15007,1.15224,4468,8,0,1,1,0,0,0,صعودي
2025-06-13 17:00:00,1.15221,1.15457,1.15204,1.15439,4481,8,0,1,1,0,0,0,صعودي
2025-06-13 18:00:00,1.1544,1.15689,1.1537600000000001,1.15556,4013,8,0,0,1,0,0,0,صعودي
2025-06-13 19:00:00,1.15557,1.1565400000000001,1.15519,1.1554,2895,8,0,0,1,0,0,0,هبوطي
2025-06-13 20:00:00,1.1554,1.1555,1.15367,1.15486,2617,8,0,0,1,0,0,0,هبوطي
2025-06-13 21:00:00,1.15486,1.15504,1.1533,1.1541,3389,8,0,0,1,0,0,0,هبوطي
2025-06-13 22:00:00,1.15406,1.15512,1.15362,1.15494,2656,8,0,0,1,0,1,0,صعودي
2025-06-13 23:00:00,1.15494,1.15515,1.15375,1.1549,1839,8,0,0,1,0,0,1,هبوطي
